threat_collection,domain,file_hash,file_name,file_path,file_size,ip,src_user,url
file_intel,,ab986f3d0b1a31d6e9bbde05cfcdf826 0c1833276819ca7b5302498eaf3a49cf16c460a7 4da2b0e71cb4aa8182cb1f13ee45b1ec30caa578d2441910d50e564b3e080b31 02c4e3d7a4a743dbf845ed48d7be9a2f2567ff3928009951490dafe851a69155504a28c551af1a6ed7ffa994701b97a784489dc847cf3cf3e1586184c874faa9,,,,,,
file_intel,,dd3cc21245aa074a29a76c9a771e46b03c7d85b508f2b8426cc2f8a7635d99d344817e1b51a4d169635a14d989b7e0575ae8968630d61e4af4cca1fb9ba359a6 3b211e3e544c255c1b49206bdbd481b5 0f599766c323a12d1155a69afd529d95fe164b30 34edaad1e52edb965f2ff74aa1271e126f5796c0c9e5cb5bf0eca8bcf2df541d,,,,,,
file_intel,,c85dba53e6eb8a7c1241b34439ad3ceed8cf976551e739e2153d3f8ffb2823b03980b4083d6a0f8396c77a488d1638f781235207729ea190cc38358ce50369a0 2052e63da697158424967c044b36c72bb93f4fe157828ea05151a763c5bba12f ef29eda4350977250577a486cf163d75 2e61dec7feb6e0d8720ffa3ef151a4250cca98f8,,,,,,
file_intel,,e3b08b07f7d5da387e19f9bacae3063f b87619e62b5fc706055909c9049cadb80d753cbbaff6cba2a0702b3e2e9abc6bfdd84e7a3dab46de6f6ec3552b2254e423eb697e97649d5eede4143809a435a9 17aa7d83b291a80bc68998c8ad2faaf95be5bd8157353197fbd1a66f08b4fa37 2cb7de384ccc744a4e66d04dea8b46db4f1044ed,,,,,,
file_intel,,43d9f2f4bcd8931629a09f1ede584fda6d9d023d 1202c464df736c3fe079c04575ece27c 800e3e555058d078762cbea4c0775d13ccc5dba80a3d555b14ae01e9ac037b21 3d0b3dda7bc0b068af0b00aaafeaa4bddbe880d3d358b2c5f159a2e75159c57106c476118a33f938e6f04013cae8f211b6baa7cde5c3f326a6ec47eca893c7dc,,,,,,
file_intel,,568157d10664dbf21071c9b86bea301db930d1b5 0ff3d6d7d48b65839554bd889987f88b99de535791f0376f0a9c5f1f2d3bf28a af235a3d5fff732a1ac25cdcf47b278c c472715714e9ccf2f84e67828d6a357329564961a937b41bbed5b73d4c8103f9a98740a89e2858a6670a1dd440065534291cd44c154d32831691630b88f39524,,,,,,
file_intel,,5b553a52b6cddf1f1bccffd3ae55bbea 10dad1ec7eaaaa85d8da9bc76559d3972dd48a7cce67e330af35f1674225a0e2 2919c908408c0b5b1c8baf93d290846adc6b392b30d431a2d83ae434492c58bfabb13d54049bb5d0242c059b51cec39c7db597ec9291370960e36689f1913589 3afe3680698ed084b73b33f2160e596792a9f186,,,,,,
file_intel,,dae4a906b0f2b42adf50b242d5731c83538d13fdf22a8c9707539170cacc298ddf3a1eb8fe385851a23fd52ec5596842acddda781a167da18797877bd577cf0b 49bd61d094b555237d4dab3aba2893224e1be561 159eba838cb6d7223491d09c4c2114d4 f7961ccf35ad70a54ccf61a6391bbe7d443de9a196e005bfbe185f7e7c62bdf4,,,,,,
file_intel,,48fc5c06adc451d0cdfbe24a2d9c729229c0ea347348051c800ab331d07a79bdae4db1c1d66361347988124fadc0f67f3f2ecd56ddad3199585f9d48bbe2dc39 5f699a4036e90f82a4091a101836580e 57e1004a5b32d68fe41bd9b84b7a9145a5728dda06485846661b6324ec352a8b 0f7e9034ea09634652296eb1843e0166e3ac10aa,,,,,,
file_intel,,589dfb6b6773fe240005fc9bfb56ad74 3570aeda5d2a62fa69d07282a847dbedb161b405 ef5e8fefe09f1bb9e97011b93c955e60bb4e8a7e5311b8b33ca01994ff86d6d2 55f8b8f9b61503bd5a9dbdffc89184d91aa9dba4b844896d7e50c1bdcabb332e68ff07cfb20c98dfde688cfaa8131ab5494ce705cdcae38b6b10fef6471a70b3,,,,,,
file_intel,,4550eeb54551a18ffcce05ca99713f2fec2a577e c4c985633563a2068c152d63648b99bc34e6a906bdaaaa92175b559a934d8a514103d501b8d682eedbd18a55af175cf40946d6fae20d13428d4854b516b5f0c8 515ed1f8c0a67ded28103fe0388b3fb2 b688aa1a8df57e6dbfce9bc7742a8673860151590c485c6b10d923bcc53cc1d6,,,,,,
file_intel,,55e85857bd59ca942ee59b108b78aa757de7194d63c1beff0dc7618051cfee5d 27fe82ae223328aa7b3dd02953c1d842b575cd80 22f3a44cca4ca725186027fdd0027117c53df641a549541a5869433b8b1ac6108592e0443c506972dcd0fb63815867d70dde1038b98a24e2c1fe5629330e5a61 bcdd9853d524566a0046c19a95261562,,,,,,
file_intel,,48a649fde58bf02591a87eb58a21a7e6 cd1d59dc7caf59f532bc3a611a151dc9fe786530d74fd8db3283742f7198eabf1dfdc9b7f180b83a8f8929613222528fe4cef470d9b6b645a0e2165b4bfd620b 212fce6020c2392a0127bbff738e44ae1614a618 8b980f646fceb71958352c14a5db349d4868fa01011049a009860fb72714e890,,,,,,
file_intel,,cffbce3b9981ea3a2c05587ff969feb5 3024a994997beaeb53d82ead0863444b8a5c787d a63fc4855e420f75f6a1d0c77f13cb4e8e604853dbf08ea4e7585c8cad0b17de 2b1ffe32537965e47f5bd767a27152fa9fe9da34290824b76305c661db167268ffd7447ad1fb996a79fe59f49a53c0aa1934e41c728c61a50ed1e4d35bcbd83b,,,,,,
file_intel,,37dfcd559d91cec04f0c2e21f68059c103d6dbf9157a35b5ac210adc40c6d2b7 011b80ce219ce1eb7190c684415b6f7f3d46e80b 4d78ecf02f0f6f1b70f8871fa47c2602 ba7dbcaf1bd64584843e921172d8df6a7dc3cab9d877434f728875c0929613a8f96f02a7059bf252ceebb5766c6a1a097c9fbc215ddcb99f287e7d0926937259,,,,,,
file_intel,,1f5274acc3d6715a33aa6b6ddbceeb4dbeebd3f8 5f19e7fe2a83ac28a49045c8f6fa1b3ddbe14a29ea486fc95da1c76a513235aa b2240eec836d76a6534e31a561c903b5 8140698fa47d030b25c556b801331d08afbaa515f414aeb5c2f5bb1b82a262256f6a1f18acdcbd907ea180cfae1f97686ee41fb6ddb5ccac08306f5cf253c860,,,,,,
file_intel,,4e2ea795afc1c1721b4dc947632f05a6cc4b1394c2a2b79f0cd689bd41cfbec3 a7a0d75671d73dd25be283ed71aa43dafbdcc86f07f262d537f9a49c10f95f0440948c3f9ef7b220efafa4b3315e3cd533340008421801cc09b25f3ea9e7da1f c6dea95986a4828a5d1fc288ea9393b4 51b59e4931d84dfa9a92afb8522cc2327edf3c6a,,,,,,
file_intel,,3fe7253a3ff6eb3e59aa1e90130cbb98bd137d982c557c5cf934449de6fea25f04b3cd81ffa8ec00980280431cc3ee68e206bd162e195e536d22b4b11c80be71 ab3c6e91fae88e90642917d9a3abe3df 776abb097714b9e94403e1d5d98fd09dc08e0e86228fbbf4c70ce82388446967 e7edef4d8f27e4e9848ecb3dafc9fa8b670e492b,,,,,,
file_intel,,abbd3c424e780a3592da07e02ab9fbfcc18d6ca1df51c2d5df1a81d94707f40d2fb1204bfe1556e56e27ed7e162372a1f9b9d33f768ad71fbc6c85c76e4e99cb 59afcc625042f53f18a8a067ca6afe999b3ce9a5 868a673f8c6f202b076adee71e4f98aa000b606a5fa37b9a9cc7014dfebd24fe 10c7153d4d0344753fe093f4274298df,,,,,,
file_intel,,834b6c895e70f42ed44b06613fa93bd89b6528cdeb0b80bf4657f01636fce895 2acd307dbbbc59a6664e385a45e9d545a6f0f3fb 8fec7c0aed42435bac8d34eded926be0 3d58edeac232a15240ffe6b0a24d83415be506aac08bc56faf469c58bea3cfcbb3ccd1409fe50811af5a7585e37bc49413dd97332cf905f7cd69430f51fbd637,,,,,,
file_intel,,0d14d034ad6447be2350ad0d2e13eda29b313c7e 227a7ddd30dd75d4da7c86c0f24692bd 5308280c7d2e27b767209ab84cfcf4bba593f0e360e7d1535c01736627e70aebe0a5f0c6ac7cd10e1de4c7704cefa07cd42e0c21623a99db1ac19f1f3836944a 0d2c3a675a7d73d307a19fdb009ac73c22ac4239d730fb7cc20654bc238d4e99,,,,,,
file_intel,,5bdfb7619c9cd3fed767df36d4aa51402a7cc412ba515a6d225d616a7beecb6e cad070529ebb380e60c7ce33d091f6f8 2fb73d5ea945dcad1d84ac60080da121a5b2e9f2 8c0e3e05edbe7ff67de3df08a311080507b05e6d343744e989bb82f443032dd15a79d7dca09d0b7ed2c517d8e885b798ec597ea32b9031f96c6f6a4273daf428,,,,,,
